Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
RENAULT,Petrol,132 PS or 130 bhp or 97 kW @ 5500 rpm,205 Nm or 151 lb.ft @ 2000 rpm,47 L 10.3 UK gallons 12.4 US gallons,1280 kgOR2822 lbs,197 km/h or 122 Mph,435.9 cm or 171.61 inches,181.4 cmor 71.42 inches,144.7 cmor 56.97 inches,FWD
RENAULT,Petrol,132 PS or 130 bhp or 97 kW @ 5500 rpm,205 Nm or 151 lb.ft @ 2000 rpm,47 L 10.3 UK gallons 12.4 US gallons,1205 kgOR2657 lbs,197 km/h or 122 Mph,435.9 cm or 171.61 inches,181.4 cmor 71.42 inches,144.7 cmor 56.97 inches,FWD
RENAULT,Petrol,132 PS or 130 bhp or 97 kW @ 5500 rpm,205 Nm or 151 lb.ft @ 2000 rpm,47 L 10.3 UK gallons 12.4 US gallons,1205 kgOR2657 lbs,197 km/h or 122 Mph,435.9 cm or 171.61 inches,181.4 cmor 71.42 inches,144.7 cmor 56.97 inches,FWD
RENAULT,Petrol,132 PS or 130 bhp or 97 kW @ 5500 rpm,205 Nm or 151 lb.ft @ 2000 rpm,47 L 10.3 UK gallons 12.4 US gallons,1205 kgOR2657 lbs,197 km/h or 122 Mph,435.9 cm or 171.61 inches,181.4 cmor 71.42 inches,144.7 cmor 56.97 inches,FWD
RENAULT,Petrol,101 PS or 100 bhp or 74 kW @ 4500 rpm,175 Nm or 129 lb.ft @ 1500 rpm,47 L 10.3 UK gallons 12.4 US gallons,1205 kgOR2657 lbs,179 km/h or 111 Mph,435.9 cm or 171.61 inches,181.4 cmor 71.42 inches,144.7 cmor 56.97 inches,FWD
RENAULT,Petrol,130 PS or 128 bhp or 96 kW @ 5500 rpm,205 Nm or 151 lb.ft @ 2000 rpm,47 L 10.3 UK gallons 12.4 US gallons,1205 kgOR2657 lbs,197 km/h or 122 Mph,435.9 cm or 171.61 inches,181.4 cmor 71.42 inches,144.7 cmor 56.97 inches,FWD
RENAULT,Petrol,300 PS or 296 bhp or 221 kW @ - rpm,- Nm or - lb.ft @ - rpm,,- kgOR- lbs,250 km/h or 155 Mph,- cm or - inches,- cmor - inches,- cmor - inches,FWD
RENAULT,Petrol,205 PS or 202 bhp or 151 kW @ 6000 rpm,280 Nm or 206 lb.ft @ 2400 rpm,50 L 11 UK gallons 13.2 US gallons,1392 kgOR3069 lbs,230 km/h or 143 Mph,435.9 cm or 171.61 inches,181 cmor 71.26 inches,144.7 cmor 56.97 inches,FWD
RENAULT,Petrol,100 PS or 99 bhp or 74 kW @ 4500 rpm,175 Nm or 129 lb.ft @ 1500 rpm,47 L 10.3 UK gallons 12.4 US gallons,1205 kgOR2657 lbs,179 km/h or 111 Mph,435.9 cm or 171.61 inches,181.4 cmor 71.42 inches,144.7 cmor 56.97 inches,FWD
RENAULT,Petrol,132 PS or 130 bhp or 97 kW @ 5500 rpm,205 Nm or 151 lb.ft @ 2000 rpm,47 L 10.3 UK gallons 12.4 US gallons,1280 kgOR2822 lbs,199 km/h or 124 Mph,435.9 cm or 171.61 inches,181.4 cmor 71.42 inches,144.7 cmor 56.97 inches,FWD
RENAULT,Petrol,132 PS or 130 bhp or 97 kW @ 5500 rpm,205 Nm or 151 lb.ft @ 2000 rpm,47 L 10.3 UK gallons 12.4 US gallons,1280 kgOR2822 lbs,199 km/h or 124 Mph,435.9 cm or 171.61 inches,181.4 cmor 71.42 inches,144.7 cmor 56.97 inches,FWD
RENAULT,Diesel,110 PS or 109 bhp or 81 kW @ 4000 rpm,260 Nm or 191 lb.ft @ 1750 rpm,47 L 10.3 UK gallons 12.4 US gallons,1205 kgOR2657 lbs,187 km/h or 116 Mph,435.9 cm or 171.61 inches,181.4 cmor 71.42 inches,144.7 cmor 56.97 inches,FWD
RENAULT,Diesel,131 PS or 129 bhp or 96 kW @ 4000 rpm,320 Nm or 236 lb.ft @ 1750 rpm,47 L 10.3 UK gallons 12.4 US gallons,1318 kgOR2906 lbs,198 km/h or 123 Mph,435.9 cm or 171.61 inches,181.4 cmor 71.42 inches,144.7 cmor 56.97 inches,FWD
RENAULT,Diesel,110 PS or 109 bhp or 81 kW @ 4000 rpm,260 Nm or 191 lb.ft @ 1750 rpm,47 L 10.3 UK gallons 12.4 US gallons,1205 kgOR2657 lbs,187 km/h or 116 Mph,435.9 cm or 171.61 inches,181.4 cmor 71.42 inches,144.7 cmor 56.97 inches,FWD
