Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
MAZDA,Petrol,165 PS or 163 bhp or 121 kW @ 6000 rpm,210 Nm or 154 lb.ft @ 4000 rpm,56 L 12.3 UK gallons 14.8 US gallons,1435 kgOR3164 lbs,201 km/h or 125 Mph,455 cm or 179.13 inches,184 cmor 72.44 inches,167.5 cmor 65.94 inches,FWD
MAZDA,Petrol,160 PS or 158 bhp or 118 kW @ 6000 rpm,208 Nm or 153 lb.ft @ 4000 rpm,58 L 12.8 UK gallons 15.3 US gallons,1500 kgOR3307 lbs,188 km/h or 117 Mph,455 cm or 179.13 inches,184 cmor 72.44 inches,167.5 cmor 65.94 inches,AWD
MAZDA,Petrol,160 PS or 158 bhp or 118 kW @ 6000 rpm,208 Nm or 153 lb.ft @ 4000 rpm,58 L 12.8 UK gallons 15.3 US gallons,1495 kgOR3296 lbs,198 km/h or 123 Mph,455 cm or 179.13 inches,184 cmor 72.44 inches,167.5 cmor 65.94 inches,AWD
MAZDA,Petrol,165 PS or 163 bhp or 121 kW @ 6000 rpm,210 Nm or 154 lb.ft @ 4000 rpm,56 L 12.3 UK gallons 14.8 US gallons,1465 kgOR3230 lbs,192 km/h or 119 Mph,455 cm or 179.13 inches,184 cmor 72.44 inches,167.5 cmor 65.94 inches,FWD
MAZDA,Diesel,150 PS or 148 bhp or 110 kW @ 4500 rpm,380 Nm or 280 lb.ft @ 1800-2600 rpm,56 L 12.3 UK gallons 14.8 US gallons,1555 kgOR3428 lbs,200 km/h or 124 Mph,455 cm or 179.13 inches,184 cmor 72.44 inches,167.5 cmor 65.94 inches,FWD
MAZDA,Diesel,150 PS or 148 bhp or 110 kW @ 4500 rpm,380 Nm or 280 lb.ft @ 1800-2600 rpm,56 L 12.3 UK gallons 14.8 US gallons,1535 kgOR3384 lbs,204 km/h or 127 Mph,455 cm or 179.13 inches,184 cmor 72.44 inches,167.5 cmor 65.94 inches,FWD
MAZDA,Diesel,150 PS or 148 bhp or 110 kW @ 4500 rpm,380 Nm or 280 lb.ft @ 1800-2600 rpm,58 L 12.8 UK gallons 15.3 US gallons,1595 kgOR3516 lbs,199 km/h or 124 Mph,455 cm or 179.13 inches,184 cmor 72.44 inches,167.5 cmor 65.94 inches,AWD
MAZDA,Diesel,150 PS or 148 bhp or 110 kW @ 4500 rpm,380 Nm or 280 lb.ft @ 1800-2600 rpm,58 L 12.8 UK gallons 15.3 US gallons,1605 kgOR3538 lbs,196 km/h or 122 Mph,455 cm or 179.13 inches,184 cmor 72.44 inches,167.5 cmor 65.94 inches,AWD
MAZDA,Diesel,175 PS or 173 bhp or 129 kW @ 4500 rpm,420 Nm or 309 lb.ft @ 2000 rpm,58 L 12.8 UK gallons 15.3 US gallons,1595 kgOR3516 lbs,208 km/h or 129 Mph,455 cm or 179.13 inches,184 cmor 72.44 inches,167.5 cmor 65.94 inches,AWD
MAZDA,Diesel,175 PS or 173 bhp or 129 kW @ 4500 rpm,420 Nm or 309 lb.ft @ 2000 rpm,58 L 12.8 UK gallons 15.3 US gallons,1610 kgOR3549 lbs,206 km/h or 128 Mph,455 cm or 179.13 inches,184 cmor 72.44 inches,167.5 cmor 65.94 inches,AWD
MAZDA,Petrol,145 PS or 143 bhp or 107 kW @ 6000 rpm,210 Nm or 154 lb.ft @ 4000 rpm,62 L 13.6 UK gallons 16.4 US gallons,1390 kgOR3064 lbs,206 km/h or 128 Mph,480 cm or 188.98 inches,184 cmor 72.44 inches,148 cmor 58.27 inches,FWD
MAZDA,Petrol,192 PS or 189 bhp or 141 kW @ 5700 rpm,256 Nm or 188 lb.ft @ 3250 rpm,62 L 13.6 UK gallons 16.4 US gallons,1445 kgOR3186 lbs,220 km/h or 137 Mph,480 cm or 188.98 inches,184 cmor 72.44 inches,148 cmor 58.27 inches,FWD
MAZDA,Diesel,150 PS or 148 bhp or 110 kW @ 4500 rpm,380 Nm or 280 lb.ft @ 1800-2600 rpm,62 L 13.6 UK gallons 16.4 US gallons,1495 kgOR3296 lbs,210 km/h or 131 Mph,480 cm or 188.98 inches,184 cmor 72.44 inches,148 cmor 58.27 inches,FWD
MAZDA,Diesel,150 PS or 148 bhp or 110 kW @ 4500 rpm,380 Nm or 280 lb.ft @ 1800-2600 rpm,62 L 13.6 UK gallons 16.4 US gallons,1500 kgOR3307 lbs,202 km/h or 126 Mph,480 cm or 188.98 inches,184 cmor 72.44 inches,148 cmor 58.27 inches,FWD
MAZDA,Diesel,175 PS or 173 bhp or 129 kW @ 4500 rpm,420 Nm or 309 lb.ft @ 2000 rpm,62 L 13.6 UK gallons 16.4 US gallons,1500 kgOR3307 lbs,215 km/h or 134 Mph,480 cm or 188.98 inches,184 cmor 72.44 inches,148 cmor 58.27 inches,FWD
MAZDA,Diesel,175 PS or 173 bhp or 129 kW @ 4500 rpm,420 Nm or 309 lb.ft @ 2000 rpm,52 L 11.4 UK gallons 13.7 US gallons,1565 kgOR3450 lbs,209 km/h or 130 Mph,480 cm or 188.98 inches,184 cmor 72.44 inches,148 cmor 58.27 inches,AWD
MAZDA,Petrol,101 PS or 100 bhp or 74 kW @ 6000 rpm,150 Nm or 110 lb.ft @ 4000 rpm,51 L 11.2 UK gallons 13.5 US gallons,1260 kgOR2778 lbs,185 km/h or 115 Mph,458 cm or 180.31 inches,179.5 cmor 70.67 inches,145 cmor 57.09 inches,FWD
MAZDA,Petrol,120 PS or 118 bhp or 88 kW @ 6000 rpm,210 Nm or 154 lb.ft @ 4000 rpm,51 L 11.2 UK gallons 13.5 US gallons,1280 kgOR2822 lbs,198 km/h or 123 Mph,458 cm or 180.31 inches,179.5 cmor 70.67 inches,145 cmor 57.09 inches,FWD
MAZDA,Petrol,120 PS or 118 bhp or 88 kW @ 6000 rpm,210 Nm or 154 lb.ft @ 4000 rpm,51 L 11.2 UK gallons 13.5 US gallons,1315 kgOR2899 lbs,198 km/h or 123 Mph,458 cm or 180.31 inches,179.5 cmor 70.67 inches,145 cmor 57.09 inches,FWD
MAZDA,Diesel,105 PS or 104 bhp or 77 kW @ 4000 rpm,270 Nm or 199 lb.ft @ 1600-2500 rpm,51 L 11.2 UK gallons 13.5 US gallons,1340 kgOR2954 lbs,186 km/h or 116 Mph,458 cm or 180.31 inches,179.5 cmor 70.67 inches,145 cmor 57.09 inches,FWD
MAZDA,Diesel,150 PS or 148 bhp or 110 kW @ 4500 rpm,380 Nm or 280 lb.ft @ 1800 rpm,51 L 11.2 UK gallons 13.5 US gallons,1395 kgOR3075 lbs,213 km/h or 132 Mph,458 cm or 180.31 inches,179.5 cmor 70.67 inches,145 cmor 57.09 inches,FWD
MAZDA,Petrol,145 PS or 143 bhp or 107 kW @ 6000 rpm,210 Nm or 154 lb.ft @ 4000 rpm,62 L 13.6 UK gallons 16.4 US gallons,1375 kgOR3031 lbs,208 km/h or 129 Mph,486.5 cm or 191.54 inches,184 cmor 72.44 inches,145 cmor 57.09 inches,FWD
MAZDA,Petrol,192 PS or 189 bhp or 141 kW @ 5700 rpm,256 Nm or 188 lb.ft @ 3250 rpm,62 L 13.6 UK gallons 16.4 US gallons,1440 kgOR3175 lbs,223 km/h or 139 Mph,486.5 cm or 191.54 inches,184 cmor 72.44 inches,145 cmor 57.09 inches,FWD
MAZDA,Diesel,150 PS or 148 bhp or 110 kW @ 4500 rpm,380 Nm or 280 lb.ft @ 1800-2600 rpm,62 L 13.6 UK gallons 16.4 US gallons,1480 kgOR3263 lbs,210 km/h or 131 Mph,486.5 cm or 191.54 inches,184 cmor 72.44 inches,145 cmor 57.09 inches,FWD
MAZDA,Diesel,150 PS or 148 bhp or 110 kW @ 4500 rpm,380 Nm or 280 lb.ft @ 1800-2600 rpm,62 L 13.6 UK gallons 16.4 US gallons,1500 kgOR3307 lbs,204 km/h or 127 Mph,486.5 cm or 191.54 inches,184 cmor 72.44 inches,145 cmor 57.09 inches,FWD
MAZDA,Diesel,175 PS or 173 bhp or 129 kW @ 4500 rpm,420 Nm or 309 lb.ft @ 2000 rpm,62 L 13.6 UK gallons 16.4 US gallons,1480 kgOR3263 lbs,223 km/h or 139 Mph,486.5 cm or 191.54 inches,184 cmor 72.44 inches,145 cmor 57.09 inches,FWD
MAZDA,Diesel,175 PS or 173 bhp or 129 kW @ 4500 rpm,420 Nm or 309 lb.ft @ 2000 rpm,62 L 13.6 UK gallons 16.4 US gallons,1500 kgOR3307 lbs,216 km/h or 134 Mph,486.5 cm or 191.54 inches,184 cmor 72.44 inches,145 cmor 57.09 inches,FWD
MAZDA,Petrol,160 PS or 158 bhp or 118 kW @ 6000 rpm,200 Nm or 147 lb.ft @ 4600 rpm,45 L 9.9 UK gallons 11.9 US gallons,1145 kgOR2524 lbs,195 km/h or 121 Mph,391.5 cm or 154.13 inches,173.5 cmor 68.31 inches,123 cmor 48.43 inches,RWD
MAZDA,Petrol,131 PS or 129 bhp or 96 kW @ 7000 rpm,150 Nm or 110 lb.ft @ 4800 rpm,45 L 9.9 UK gallons 11.9 US gallons,1090 kgOR2403 lbs,204 km/h or 127 Mph,391.5 cm or 154.13 inches,173.5 cmor 68.31 inches,123 cmor 48.43 inches,RWD
MAZDA,Petrol,160 PS or 158 bhp or 118 kW @ 6000 rpm,200 Nm or 147 lb.ft @ 4600 rpm,45 L 9.9 UK gallons 11.9 US gallons,1120 kgOR2469 lbs,216 km/h or 134 Mph,391.5 cm or 154.13 inches,173.5 cmor 68.31 inches,123 cmor 48.43 inches,RWD
MAZDA,Petrol,160 PS or 158 bhp or 118 kW @ 6000 rpm,200 Nm or 147 lb.ft @ 4600 rpm,45 L 9.9 UK gallons 11.9 US gallons,1120 kgOR2469 lbs,216 km/h or 134 Mph,391.5 cm or 154.13 inches,173.5 cmor 68.31 inches,123 cmor 48.43 inches,RWD
MAZDA,Petrol,120 PS or 118 bhp or 88 kW @ 6000 rpm,210 Nm or 154 lb.ft @ 4000 rpm,51 L 11.2 UK gallons 13.5 US gallons,1280 kgOR2822 lbs,195 km/h or 121 Mph,447 cm or 175.98 inches,179.5 cmor 70.67 inches,145 cmor 57.09 inches,FWD
MAZDA,Petrol,120 PS or 118 bhp or 88 kW @ 6000 rpm,210 Nm or 154 lb.ft @ 4000 rpm,51 L 11.2 UK gallons 13.5 US gallons,1320 kgOR2910 lbs,194 km/h or 121 Mph,447 cm or 175.98 inches,179.5 cmor 70.67 inches,145 cmor 57.09 inches,FWD
MAZDA,Petrol,165 PS or 163 bhp or 121 kW @ 6000 rpm,210 Nm or 154 lb.ft @ 4000 rpm,51 L 11.2 UK gallons 13.5 US gallons,1305 kgOR2877 lbs,210 km/h or 131 Mph,447 cm or 175.98 inches,179.5 cmor 70.67 inches,145 cmor 57.09 inches,FWD
MAZDA,Petrol,101 PS or 100 bhp or 74 kW @ 6000 rpm,150 Nm or 110 lb.ft @ 4000 rpm,51 L 11.2 UK gallons 13.5 US gallons,1260 kgOR2778 lbs,182 km/h or 113 Mph,447 cm or 175.98 inches,179.5 cmor 70.67 inches,145 cmor 57.09 inches,FWD
MAZDA,Diesel,105 PS or 104 bhp or 77 kW @ 4000 rpm,270 Nm or 199 lb.ft @ 1600-2500 rpm,51 L 11.2 UK gallons 13.5 US gallons,1335 kgOR2943 lbs,185 km/h or 115 Mph,447 cm or 175.98 inches,179.5 cmor 70.67 inches,145 cmor 57.09 inches,FWD
MAZDA,Diesel,105 PS or 104 bhp or 77 kW @ 4000 rpm,270 Nm or 199 lb.ft @ 1600-2500 rpm,51 L 11.2 UK gallons 13.5 US gallons,1360 kgOR2998 lbs,181 km/h or 112 Mph,447 cm or 175.98 inches,179.5 cmor 70.67 inches,145 cmor 57.09 inches,FWD
MAZDA,Diesel,150 PS or 148 bhp or 110 kW @ 4500 rpm,380 Nm or 280 lb.ft @ 1800 rpm,51 L 11.2 UK gallons 13.5 US gallons,1395 kgOR3075 lbs,210 km/h or 131 Mph,447 cm or 175.98 inches,179.5 cmor 70.67 inches,145 cmor 57.09 inches,FWD
MAZDA,Diesel,150 PS or 148 bhp or 110 kW @ 4500 rpm,380 Nm or 280 lb.ft @ 1800 rpm,51 L 11.2 UK gallons 13.5 US gallons,1410 kgOR3109 lbs,201 km/h or 125 Mph,447 cm or 175.98 inches,179.5 cmor 70.67 inches,145 cmor 57.09 inches,FWD
MAZDA,Petrol,145 PS or 143 bhp or 107 kW @ 6000 rpm,210 Nm or 154 lb.ft @ 4000 rpm,62 L 13.6 UK gallons 16.4 US gallons,1380 kgOR3042 lbs,206 km/h or 128 Mph,480 cm or 188.98 inches,184 cmor 72.44 inches,148 cmor 58.27 inches,FWD
MAZDA,Petrol,145 PS or 143 bhp or 107 kW @ 6000 rpm,210 Nm or 154 lb.ft @ 4000 rpm,62 L 13.6 UK gallons 16.4 US gallons,1380 kgOR3042 lbs,206 km/h or 128 Mph,480 cm or 188.98 inches,184 cmor 72.44 inches,148 cmor 58.27 inches,FWD
MAZDA,Petrol,192 PS or 189 bhp or 141 kW @ 5700 rpm,256 Nm or 188 lb.ft @ 3250 rpm,62 L 13.6 UK gallons 16.4 US gallons,1440 kgOR3175 lbs,220 km/h or 137 Mph,480 cm or 188.98 inches,184 cmor 72.44 inches,148 cmor 58.27 inches,FWD
MAZDA,Diesel,175 PS or 173 bhp or 129 kW @ 4500 rpm,420 Nm or 309 lb.ft @ 2000 rpm,62 L 13.6 UK gallons 16.4 US gallons,1500 kgOR3307 lbs,215 km/h or 134 Mph,480 cm or 188.98 inches,184 cmor 72.44 inches,148 cmor 58.27 inches,FWD
MAZDA,Diesel,150 PS or 148 bhp or 110 kW @ 4500 rpm,380 Nm or 280 lb.ft @ 1800-2600 rpm,62 L 13.6 UK gallons 16.4 US gallons,1500 kgOR3307 lbs,202 km/h or 126 Mph,480 cm or 188.98 inches,184 cmor 72.44 inches,148 cmor 58.27 inches,FWD
MAZDA,Diesel,150 PS or 148 bhp or 110 kW @ 4500 rpm,380 Nm or 280 lb.ft @ 1800-2600 rpm,62 L 13.6 UK gallons 16.4 US gallons,1500 kgOR3307 lbs,202 km/h or 126 Mph,480 cm or 188.98 inches,184 cmor 72.44 inches,148 cmor 58.27 inches,FWD
