Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
FORD,Diesel,160 PS or 158 bhp or 118 kW @ 3700 rpm,385 Nm or 283 lb.ft @ 1500-2500 rpm,,2177 kgOR4799 lbs,175 km/h or 109 Mph,536.2 cm or 211.1 inches,186 cmor 73.23 inches,181.5 cmor 71.46 inches,AWD
FORD,Diesel,160 PS or 158 bhp or 118 kW @ 3700 rpm,385 Nm or 283 lb.ft @ 1500-2500 rpm,80 L 17.6 UK gallons 21.1 US gallons,2194 kgOR4837 lbs,175 km/h or 109 Mph,536.2 cm or 211.1 inches,186 cmor 73.23 inches,181.5 cmor 71.46 inches,AWD
FORD,Diesel,200 PS or 197 bhp or 147 kW @ 3000 rpm,470 Nm or 346 lb.ft @ 1500-2750 rpm,,2225 kgOR4905 lbs,175 km/h or 109 Mph,536.2 cm or 211.1 inches,186 cmor 73.23 inches,181.5 cmor 71.46 inches,AWD
FORD,Diesel,200 PS or 197 bhp or 147 kW @ 3000 rpm,470 Nm or 346 lb.ft @ 1500-2750 rpm,80 L 17.6 UK gallons 21.1 US gallons,2242 kgOR4943 lbs,175 km/h or 109 Mph,536.2 cm or 211.1 inches,186 cmor 73.23 inches,181.5 cmor 71.46 inches,AWD
FORD,Diesel,160 PS or 158 bhp or 118 kW @ 3700 rpm,385 Nm or 283 lb.ft @ 1500-2500 rpm,80 L 17.6 UK gallons 21.1 US gallons,2177 kgOR4799 lbs,175 km/h or 109 Mph,536.2 cm or 211.1 inches,186 cmor 73.23 inches,181.5 cmor 71.46 inches,AWD
FORD,Diesel,160 PS or 158 bhp or 118 kW @ 3700 rpm,385 Nm or 283 lb.ft @ 1500-2500 rpm,80 L 17.6 UK gallons 21.1 US gallons,2006 kgOR4422 lbs,175 km/h or 109 Mph,527.7 cm or 207.76 inches,186 cmor 73.23 inches,180 cmor 70.87 inches,AWD
FORD,Diesel,160 PS or 158 bhp or 118 kW @ 3700 rpm,385 Nm or 283 lb.ft @ 1500-2500 rpm,80 L 17.6 UK gallons 21.1 US gallons,2045 kgOR4508 lbs,175 km/h or 109 Mph,536.2 cm or 211.1 inches,186 cmor 73.23 inches,181.5 cmor 71.46 inches,AWD
FORD,Diesel,200 PS or 197 bhp or 147 kW @ 3000 rpm,470 Nm or 346 lb.ft @ 1500-2750 rpm,80 L 17.6 UK gallons 21.1 US gallons,2225 kgOR4905 lbs,175 km/h or 109 Mph,536.2 cm or 211.1 inches,186 cmor 73.23 inches,181.5 cmor 71.46 inches,AWD
FORD,Diesel,200 PS or 197 bhp or 147 kW @ 3000 rpm,470 Nm or 346 lb.ft @ 1500-2750 rpm,80 L 17.6 UK gallons 21.1 US gallons,2242 kgOR4943 lbs,175 km/h or 109 Mph,536.2 cm or 211.1 inches,186 cmor 73.23 inches,181.5 cmor 71.46 inches,AWD
FORD,Petrol,71 PS or 70 bhp or 52 kW @ 6000 rpm,105 Nm or 77 lb.ft @ 4000 rpm,,1084 kgOR2390 lbs,159 km/h or 99 Mph,392.9 cm or 154.69 inches,169.5 cmor 66.73 inches,152.4 cmor 60 inches,FWD
FORD,Petrol,86 PS or 85 bhp or 63 kW @ 6300 rpm,112 Nm or 82 lb.ft @ 4000 rpm,,1084 kgOR2390 lbs,166 km/h or 103 Mph,392.9 cm or 154.69 inches,169.5 cmor 66.73 inches,152.4 cmor 60 inches,FWD
FORD,Petrol,86 PS or 85 bhp or 63 kW @ 6300 rpm,112 Nm or 82 lb.ft @ 4000 rpm,,1084 kgOR2390 lbs,169 km/h or 105 Mph,392.9 cm or 154.69 inches,169.5 cmor 66.73 inches,152.4 cmor 60 inches,FWD
FORD,Diesel,209 PS or 206 bhp or 154 kW @ 3750 rpm,450 Nm or 331 lb.ft @ 2000-2250 rpm,69 L 15.2 UK gallons 18.2 US gallons,1949 kgOR4297 lbs,211 km/h or 131 Mph,480.8 cm or 189.29 inches,192.8 cmor 75.91 inches,169.2 cmor 66.61 inches,AWD
FORD,Diesel,179 PS or 177 bhp or 132 kW @ 3500 rpm,400 Nm or 295 lb.ft @ 2000-2500 rpm,69 L 15.2 UK gallons 18.2 US gallons,1913 kgOR4217 lbs,200 km/h or 124 Mph,480.8 cm or 189.29 inches,192.8 cmor 75.91 inches,169.2 cmor 66.61 inches,AWD
FORD,Diesel,209 PS or 206 bhp or 154 kW @ 3750 rpm,450 Nm or 331 lb.ft @ 2000-2500 rpm,64 L 14.1 UK gallons 16.9 US gallons,1949 kgOR4297 lbs,211 km/h or 131 Mph,480.8 cm or 189.29 inches,192.8 cmor 75.91 inches,168.6 cmor 66.38 inches,AWD
FORD,Diesel,179 PS or 177 bhp or 132 kW @ 3500 rpm,400 Nm or 295 lb.ft @ 2000-2500 rpm,64 L 14.1 UK gallons 16.9 US gallons,1912 kgOR4215 lbs,200 km/h or 124 Mph,480.8 cm or 189.29 inches,192.8 cmor 75.91 inches,168.6 cmor 66.38 inches,AWD
FORD,Diesel,179 PS or 177 bhp or 132 kW @ 3500 rpm,400 Nm or 295 lb.ft @ 2000-2500 rpm,64 L 14.1 UK gallons 16.9 US gallons,1912 kgOR4215 lbs,200 km/h or 124 Mph,480.8 cm or 189.29 inches,192.8 cmor 75.91 inches,168.6 cmor 66.38 inches,AWD
FORD,Diesel,209 PS or 206 bhp or 154 kW @ 3750 rpm,450 Nm or 331 lb.ft @ 2000-2500 rpm,64 L 14.1 UK gallons 16.9 US gallons,1949 kgOR4297 lbs,211 km/h or 131 Mph,480.8 cm or 189.29 inches,192.8 cmor 75.91 inches,168.6 cmor 66.38 inches,AWD
FORD,Petrol,182 PS or 180 bhp or 134 kW @ 6000 rpm,240 Nm or 177 lb.ft @ 1600-5000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1686 kgOR3717 lbs,200 km/h or 124 Mph,454.1 cm or 178.78 inches,185.6 cmor 73.07 inches,169.4 cmor 66.69 inches,AWD
FORD,Petrol,150 PS or 148 bhp or 110 kW @ 6000 rpm,240 Nm or 177 lb.ft @ 1600-4000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1579 kgOR3481 lbs,195 km/h or 121 Mph,452.4 cm or 178.11 inches,183.8 cmor 72.36 inches,170.1 cmor 66.97 inches,FWD
FORD,Petrol,150 PS or 148 bhp or 110 kW @ 6000 rpm,240 Nm or 177 lb.ft @ 1600-4000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1579 kgOR3481 lbs,195 km/h or 121 Mph,454.1 cm or 178.78 inches,185.6 cmor 73.07 inches,170.3 cmor 67.05 inches,FWD
FORD,Petrol,182 PS or 180 bhp or 134 kW @ 6000 rpm,240 Nm or 177 lb.ft @ 1600-5000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1686 kgOR3717 lbs,200 km/h or 124 Mph,452.4 cm or 178.11 inches,183.8 cmor 72.36 inches,170.1 cmor 66.97 inches,AWD
FORD,Petrol,182 PS or 180 bhp or 134 kW @ 6000 rpm,240 Nm or 177 lb.ft @ 1600-5000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1686 kgOR3717 lbs,200 km/h or 124 Mph,452.4 cm or 178.11 inches,183.8 cmor 72.36 inches,170.1 cmor 66.97 inches,AWD
FORD,Petrol,120 PS or 118 bhp or 88 kW @ 5500 rpm,240 Nm or 177 lb.ft @ 1600-3000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1579 kgOR3481 lbs,180 km/h or 112 Mph,452.4 cm or 178.11 inches,183.8 cmor 72.36 inches,170.1 cmor 66.97 inches,FWD
FORD,Petrol,150 PS or 148 bhp or 110 kW @ 6000 rpm,240 Nm or 177 lb.ft @ 1600-4000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1579 kgOR3481 lbs,195 km/h or 121 Mph,452.4 cm or 178.11 inches,183.8 cmor 72.36 inches,170.1 cmor 66.97 inches,FWD
FORD,Diesel,179 PS or 177 bhp or 132 kW @ 3500 rpm,400 Nm or 295 lb.ft @ 2000-2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1716 kgOR3783 lbs,200 km/h or 124 Mph,454.1 cm or 178.78 inches,185.6 cmor 73.07 inches,169.4 cmor 66.69 inches,AWD
FORD,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,370 Nm or 272 lb.ft @ 2000-2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1614 kgOR3558 lbs,194 km/h or 121 Mph,454.1 cm or 178.78 inches,185.6 cmor 73.07 inches,170.3 cmor 67.05 inches,FWD
FORD,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,370 Nm or 272 lb.ft @ 2000-2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1702 kgOR3752 lbs,192 km/h or 119 Mph,454.1 cm or 178.78 inches,185.6 cmor 73.07 inches,169.4 cmor 66.69 inches,AWD
FORD,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,370 Nm or 272 lb.ft @ 2000-2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1716 kgOR3783 lbs,190 km/h or 118 Mph,454.1 cm or 178.78 inches,185.6 cmor 73.07 inches,169.4 cmor 66.69 inches,AWD
FORD,Diesel,179 PS or 177 bhp or 132 kW @ 3500 rpm,400 Nm or 295 lb.ft @ 2000-2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1716 kgOR3783 lbs,200 km/h or 124 Mph,452.4 cm or 178.11 inches,183.8 cmor 72.36 inches,170.1 cmor 66.97 inches,AWD
FORD,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,370 Nm or 272 lb.ft @ 2000-2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1716 kgOR3783 lbs,190 km/h or 118 Mph,452.4 cm or 178.11 inches,183.8 cmor 72.36 inches,170.1 cmor 66.97 inches,AWD
FORD,Diesel,179 PS or 177 bhp or 132 kW @ 3500 rpm,400 Nm or 295 lb.ft @ 2000-2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1702 kgOR3752 lbs,202 km/h or 126 Mph,454.1 cm or 178.78 inches,185.6 cmor 73.07 inches,169.4 cmor 66.69 inches,AWD
FORD,Diesel,179 PS or 177 bhp or 132 kW @ 3500 rpm,400 Nm or 295 lb.ft @ 2000-2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1702 kgOR3752 lbs,202 km/h or 126 Mph,452.4 cm or 178.11 inches,183.8 cmor 72.36 inches,170.1 cmor 66.97 inches,AWD
FORD,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,370 Nm or 272 lb.ft @ 2000-2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1702 kgOR3752 lbs,192 km/h or 119 Mph,452.4 cm or 178.11 inches,183.8 cmor 72.36 inches,170.1 cmor 66.97 inches,AWD
FORD,Diesel,120 PS or 118 bhp or 88 kW @ 3500 rpm,270 Nm or 199 lb.ft @ 1750-2000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1591 kgOR3508 lbs,173 km/h or 108 Mph,452.4 cm or 178.11 inches,183.8 cmor 72.36 inches,170.1 cmor 66.97 inches,FWD
FORD,Diesel,150 PS or 148 bhp or 110 kW @ 3500 rpm,370 Nm or 272 lb.ft @ 2000-2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1614 kgOR3558 lbs,194 km/h or 121 Mph,452.4 cm or 178.11 inches,183.8 cmor 72.36 inches,170.1 cmor 66.97 inches,FWD
